tract_id,house_num,shape_area,shape_length,shape_area_c,shape_length_c,target
280900,327.0,1578544.700053166,75958.43678261244,1484417.539442432,70172.5103922812,0
283100,143.0,1131968.0159515326,51454.770999697415,1050537.7415773775,47348.38762099298,0
291200,366.0,1184972.5422026347,86145.24143252337,1087017.0871232871,78332.46114799198,0
292200,497.0,1197864.803162599,103363.78153714332,1101231.6345444487,94163.00886529069,0
292400,474.0,1209980.4744987898,101373.92552125322,1100143.7498460133,91761.69981361627,0
292500,374.0,1123059.901695488,71583.0689117846,1032593.1623616238,65603.11780641116,0
300600,771.0,1608918.1545606854,141929.37764824578,1479698.8830947224,129693.16406720212,0
300700,957.0,1833913.4856811147,171602.47355694906,1699672.7009512214,157969.37204546976,0
301701,955.0,2037840.6416315888,177017.83257809514,1864027.488193906,160876.709485747,0
301702,967.0,1657897.517232282,165535.98857818195,1519453.107291028,150567.37954938685,0
301801,488.0,1460900.984051984,91260.710429913,1344716.315283129,83637.0340286317,0
301802,693.0,1601144.142818058,124492.27519655114,1469630.9417622942,113925.30751586345,0
301803,1089.0,1634089.7418065611,178952.12658464175,1491609.1184237693,162980.2254629176,0
30300,410.0,1425644.1757269893,94116.97205105428,1314769.609050454,86539.05986940688,0
30603,234.0,2037178.33459837,85378.52691386102,1835016.748155799,76988.4509457445,0
30701,176.0,1916998.533514908,72663.12615027715,1732885.9417075722,65755.20105845228,0
30703,224.0,2325140.4488056414,86842.85096887678,2098776.3784681163,78592.77909953898,0
310300,437.0,1923249.9443070705,103151.676232632,1755166.2397818214,93935.23895841886,0
310500,378.0,1855680.2171472143,97174.58732885993,1698563.0311902042,87445.77527293391,0
310700,248.0,988925.9057908956,56710.41932519981,895590.7668502372,50736.60429720146,0
310800,290.0,849454.0341987818,57751.4261305652,767394.412133227,51617.16287336632,0
31200,199.0,2162255.066440154,83502.04241339676,1961268.8198576907,75634.56588609453,0
31300,1.0,24078.005996586755,719.6598195808841,23908.572324757584,714.5956707590593,0
31501,123.0,2059685.0756414784,62408.97913794933,1876475.0501348253,56720.11092716183,0
31502,111.0,2262213.7789466404,64065.09608228814,2037195.475638634,58022.38984895786,0
